Preview,Vorschau
Label,Bezeichnung
Select...,Wählen...
Done,Fertig
"Type category name to search...","Für die Suche bitte den Bereich eingeben..."
"There are no categories matching your selection","Es passen keine Merkmale zu Ihrer Auswahl."
Result,Ergebnis
Results,Ergebnisse
Category,Kategorie
"Show products count","Zeige Produktzähler"
Yes,Ja
No,Keine
"Data source",Datenquelle
"Display variant",Anzeigevariante
Headline,Überschrift
"Check offer","Angebot ansehen"
"Text color scheme","Farbschema Text"
Change,Ändern
"Insert File...","Datei einfügen..."
"Are you sure you want to delete this item?","Sind Sie sicher, dass Sie diesen Inhalt löschen wollen?"
Warning,Warnung
"Images you have uploaded have different aspect ratio. This may cause this component to display wrong. We recommend to keep the same aspect ratio for all uploaded images.","Bilder, die Sie hochgeladen haben, haben unterschiedliche Bildformate. Das kann dazu führen dass dieses Teil falsch dargestellt wird. Wir empfehlen für alle Bilder das selbe Darstellungsverhältnis zu verwenden."
More,Mehr
Position,Reihenfolge
Center,Mitte
"as last","wie zuletzt"
"Show in mobiles","Auf Mobilgeräten anzeigen"
Identifier,Bezeichner
Title,Titel
"Show / Hide Editor","Editor ein-/ausblenden"
"Insert Widget","Widget einfügen"
"Insert Image","Bild einfügen"
"Insert Variable","Variable einfügen"
"An error occured. Please try again later.","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal. "
Categories,Kategorien
Filter,Filtern
Ascending,Aufsteigend
Descending,Absteigend
"Show ",Zeige
"products ",produkte
"Category ID",Kategorie-ID
"Desktop Layout","Layout Benutzeroberfläche"
Url,URL
"1 row of products","1 Produktreihe"
"2 rows of products","2 Produktreihen"
"3 rows of products","3 Produktreihen"
"4 rows of products","4 Produktreihen"
"All products","Alle Artikel"
Tags,Schlagwörter
"Desktop layout","Layout Benutzeroberfläche"
Cancel,Abbrechen
"Configure your component","Wählen Sie Ihren Artikel"
Save,Speichern
"Page Information",Seiteninformationen
"Logo Image",Logo
"Add pin","Pin hinzufügen"
"Appearance","Darstellung"
"Base pin colour","Basisfarbe der Pins"
"Bottom","Unten"
"Browse","Durchsuchen"
"By default the link opens in the same tab.","Standardmäßig wird der Link im gleichen Tab geöffnet."
"By default this pin uses the base colour set for the image. Turn on the override to give this pin its own colour.","Standardmäßig verwendet dieser Pin die für das Bild festgelegte Basisfarbe. Aktivieren Sie die Überschreibung, um diesem Pin eine eigene Farbe zu geben."
"Custom URL","Eigene URL"
"Default colour for all pins on this image.","Standardfarbe für alle Pins auf diesem Bild."
"Delete pin","Pin löschen"
"Drag a pin on the image to position it.","Ziehen Sie einen Pin auf dem Bild, um ihn zu positionieren."
"Edit pin","Pin bearbeiten"
"Enter or paste a SKU","SKU eingeben oder einfügen"
"Hex values only, e.g. #324dcf.","Nur Hex-Werte, z. B. #324dcf."
"It is not advised to use the pin card for an Image Teaser with more than 2 images per row, because of the limited space.","Bei einem Image Teaser mit mehr als 2 Bildern pro Reihe wird die Produktkarte aufgrund des begrenzten Platzes nicht empfohlen."
"Could not check this SKU. Please try again.","Diese SKU konnte nicht geprüft werden. Bitte erneut versuchen."
"Left","Links"
"Link target","Linkziel"
"Off — link only / On — product card","Aus — nur Link / Ein — Produktkarte"
"Off: card appears on hover. On: card appears when the pin is clicked/tapped.","Aus: Karte erscheint beim Überfahren. Ein: Karte erscheint beim Klicken/Antippen des Pins."
"Open card on click","Karte beim Klick öffnen"
"Open link in new tab","Link in neuem Tab öffnen"
"Override pin colour","Pin-Farbe überschreiben"
"Pin","Pin"
"Preferred card position","Bevorzugte Position der Karte"
"Product not found","Produkt nicht gefunden"
"Right","Rechts"
"Searching…","Suche läuft…"
"Show product card","Produktkarte anzeigen"
"Show review rating","Bewertung anzeigen"
"Show sale badge","Sale-Badge anzeigen"
"The product card is only shown above a configurable screen-width threshold. On smaller screens these pins act as simple links — a tap opens the product.","Die Produktkarte wird nur oberhalb einer konfigurierbaren Bildschirmbreite angezeigt. Auf kleineren Bildschirmen funktionieren diese Pins als einfache Links — ein Antippen öffnet das Produkt."
"The product page URL is attached automatically.","Die URL der Produktseite wird automatisch hinzugefügt."
"Top","Oben"
"Use a custom URL instead of a product","Eigene URL anstelle eines Produkts verwenden"
"Where the card appears relative to the pin. Automatically adjusted to stay within the image when the pin is near an edge.","Wo die Karte relativ zum Pin erscheint. Wird automatisch angepasst, damit sie innerhalb des Bildes bleibt, wenn der Pin nahe am Rand liegt."
