Preview,Prévisualiser
Label,Libellé
Select...,Choisir...
Done,Terminé
Results,Résultats
Category,Catégorie
Yes,Oui
No,Non
Change,Modifier
"Are you sure you want to delete this item?","Êtes-vous sûr(e) de bien vouloir supprimer cet élément ?"
Warning,Attention
Center,Centrer
Identifier,Identifiant
Title,Titre
"Show / Hide Editor","Afficher/masquer l’éditeur"
"Insert Widget","Insérer un widget"
Categories,Catégories
Filter,Filtre
"Category ID","ID de catégorie"
Url,URL
"All products","Tous les produits"
Tags,"Mots clés"
Cancel,Annuler
Save,Enregistrer
"Page Information","Informations de la page"
"Allowed file types: png, gif, jpg, jpeg, svg.","Types de fichiers autorisés : png, gif, jpg, jpeg, svg."
"Logo Image","Image du logo"
