Preview,Pré-Visualizar
Label,Etiqueta
Select...,Selecione...
Done,Concluído
Results,Resultados
Category,Categoria
Yes,Sim
No,Não
Change,Modificar
"Are you sure you want to delete this item?","Tem a certeza que pretende remover este item?"
Position,Posição
Center,Centrar
Identifier,Identificador
Title,Título
"Insert Widget","Inserir Widget"
Categories,Categorias
Filter,Filtro
Url,URL
"All products","Todos os produtos"
Cancel,Cancelar
Save,Gravar
"Page Information","Informações da Página"
"Logo Image","Imagem do Logótipo"
